"","Pynam","pycomnam","MODCAT","GENCAT","GenSci","GenCom","ANALCAT","AnalSci","AnalCom","COLLCAT","CollSci","Collcom"
"361","ALBUNEA GIBBESII","SURF MOLE CRAB","BENINV","ARTHRO","ARTHROPODA","ARTHROPODA","DECAPO","DECAPODA","DECAPODA","DECCRA","DECAPODA CRAB","DECAPODA CRAB"
"362","ALBUNEA PARETII","BEACH MOLE CRAB","BENINV","ARTHRO","ARTHROPODA","ARTHROPODA","DECAPO","DECAPODA","DECAPODA","DECCRA","DECAPODA CRAB","DECAPODA CRAB"
"363","PALICIDAE","STILT CRABS","BENINV","ARTHRO","ARTHROPODA","ARTHROPODA","DECAPO","DECAPODA","DECAPODA","DECCRA","DECAPODA CRAB","DECAPODA CRAB"
"364","DECAPODA LARVAE","DECAPOD LARVAE","PELINV","ARTHRO","ARTHROPODA","ARTHROPODA","DECAPO","DECAPODA","DECAPODA","DECLAR","DECAPODA LARVAE","DECAPODA LARVAE"
"365","DECAPODA CRAB LARVAE","CRAB LARVAE","PELINV","ARTHRO","ARTHROPODA","ARTHROPODA","DECAPO","DECAPODA","DECAPODA","DECLAR","DECAPODA LARVAE","DECAPODA LARVAE"
"366","DECAPODA CRAB ZOEA","CRAB ZOEA","PELINV","ARTHRO","ARTHROPODA","ARTHROPODA","DECAPO","DECAPODA","DECAPODA","DECLAR","DECAPODA LARVAE","DECAPODA LARVAE"
"367","DECAPODA CRAB MEGALOPA","CRAB MEGALOP","PELINV","ARTHRO","ARTHROPODA","ARTHROPODA","DECAPO","DECAPODA","DECAPODA","DECLAR","DECAPODA LARVAE","DECAPODA LARVAE"
"368","DECAPODA SHRIMP LARVAE","DECAPODA SHRIMP LARVAE","PELINV","ARTHRO","ARTHROPODA","ARTHROPODA","DECAPO","DECAPODA","DECAPODA","DECLAR","DECAPODA LARVAE","DECAPODA LARVAE"
"369","AXIUS SP LARVAE","AXIUS LARVAE","PELINV","ARTHRO","ARTHROPODA","ARTHROPODA","DECAPO","DECAPODA","DECAPODA","DECLAR","DECAPODA LARVAE","DECAPODA LARVAE"
"370","CANCER SP LARVAE","CANCER LARVAE","PELINV","ARTHRO","ARTHROPODA","ARTHROPODA","DECAPO","DECAPODA","DECAPODA","DECLAR","DECAPODA LARVAE","DECAPODA LARVAE"
"371","CANCER SP ZOEA","CANCER ZOEA","PELINV","ARTHRO","ARTHROPODA","ARTHROPODA","DECAPO","DECAPODA","DECAPODA","DECLAR","DECAPODA LARVAE","DECAPODA LARVAE"
"372","CANCER SP MEGALOPA","CANCER MEGALOPA","PELINV","ARTHRO","ARTHROPODA","ARTHROPODA","DECAPO","DECAPODA","DECAPODA","DECLAR","DECAPODA LARVAE","DECAPODA LARVAE"
"373","PAGURIDAE LARVAE","RIGHT-HANDED HERMIT CRABS LARVAE","PELINV","ARTHRO","ARTHROPODA","ARTHROPODA","DECAPO","DECAPODA","DECAPODA","DECLAR","DECAPODA LARVAE","DECAPODA LARVAE"
"374","PAGURUS SP LARVAE","PAGURUS LARVAE","PELINV","ARTHRO","ARTHROPODA","ARTHROPODA","DECAPO","DECAPODA","DECAPODA","DECLAR","DECAPODA LARVAE","DECAPODA LARVAE"
"375","PAGURUS SP ZOEA","PAGURUS SP ZOEA","PELINV","ARTHRO","ARTHROPODA","ARTHROPODA","DECAPO","DECAPODA","DECAPODA","DECLAR","DECAPODA LARVAE","DECAPODA LARVAE"
"376","PANDALUS SP LARVAE","PANDANLUS LARVAE","PELINV","ARTHRO","ARTHROPODA","ARTHROPODA","DECAPO","DECAPODA","DECAPODA","DECLAR","DECAPODA LARVAE","DECAPODA LARVAE"
"377","PALINURA LARVAE","PHYLLOSOMA LARVAE","PELINV","ARTHRO","ARTHROPODA","ARTHROPODA","DECAPO","DECAPODA","DECAPODA","DECLAR","DECAPODA LARVAE","DECAPODA LARVAE"
"378","DECAPTERUS MACARELLUS","MACKEREL SCAD","LPEL","FISH","FISH","FISH","CARFAM","CARANGIDAE","JACKS","DECMAC","DECAPTERUS MACARELLUS","MACKEREL SCAD"
"379","DECAPTERUS PUNCTATUS","ROUND SCAD","LPEL","FISH","FISH","FISH","CARFAM","CARANGIDAE","JACKS","DECPUN","DECAPTERUS PUNCTATUS","ROUND SCAD"
"380","DECAPODA SHRIMP","DECAPOD SHRIMP","PELINV","ARTHRO","ARTHROPODA","ARTHROPODA","DECAPO","DECAPODA","DECAPODA","DECSHR","DECAPODA SHRIMP","DECAPODA SHRIMP"
"381","THALASSINOIDEA","LOBSTER, GHOST AND MUD SHRIMPS","PELINV","ARTHRO","ARTHROPODA","ARTHROPODA","DECAPO","DECAPODA","DECAPODA","DECSHR","DECAPODA SHRIMP","DECAPODA SHRIMP"
"382","AXIIDAE",NA,"PELINV","ARTHRO","ARTHROPODA","ARTHROPODA","DECAPO","DECAPODA","DECAPODA","DECSHR","DECAPODA SHRIMP","DECAPODA SHRIMP"
"383","AXIUS SP",NA,"PELINV","ARTHRO","ARTHROPODA","ARTHROPODA","DECAPO","DECAPODA","DECAPODA","DECSHR","DECAPODA SHRIMP","DECAPODA SHRIMP"
"384","AXIUS SERRATUS",NA,"PELINV","ARTHRO","ARTHROPODA","ARTHROPODA","DECAPO","DECAPODA","DECAPODA","DECSHR","DECAPODA SHRIMP","DECAPODA SHRIMP"
"385","CALOCARIS SP",NA,"PELINV","ARTHRO","ARTHROPODA","ARTHROPODA","DECAPO","DECAPODA","DECAPODA","DECSHR","DECAPODA SHRIMP","DECAPODA SHRIMP"
"386","CALOCARIS TEMPLEMANNI",NA,"PELINV","ARTHRO","ARTHROPODA","ARTHROPODA","DECAPO","DECAPODA","DECAPODA","DECSHR","DECAPODA SHRIMP","DECAPODA SHRIMP"
"387","NAUSHONIA CRANGONOIDES",NA,"PELINV","ARTHRO","ARTHROPODA","ARTHROPODA","DECAPO","DECAPODA","DECAPODA","DECSHR","DECAPODA SHRIMP","DECAPODA SHRIMP"
"388","CALLIANASSIDAE","GHOST SHRIMPS","PELINV","ARTHRO","ARTHROPODA","ARTHROPODA","DECAPO","DECAPODA","DECAPODA","DECSHR","DECAPODA SHRIMP","DECAPODA SHRIMP"
"389","CALLIANASSA SETIMANUS",NA,"PELINV","ARTHRO","ARTHROPODA","ARTHROPODA","DECAPO","DECAPODA","DECAPODA","DECSHR","DECAPODA SHRIMP","DECAPODA SHRIMP"
"390","GILVOSSIUS SETIMANUS",NA,"PELINV","ARTHRO","ARTHROPODA","ARTHROPODA","DECAPO","DECAPODA","DECAPODA","DECSHR","DECAPODA SHRIMP","DECAPODA SHRIMP"
"391","UPOGEBIA SP",NA,"PELINV","ARTHRO","ARTHROPODA","ARTHROPODA","DECAPO","DECAPODA","DECAPODA","DECSHR","DECAPODA SHRIMP","DECAPODA SHRIMP"
"392","UPOGEBIA AFFINIS","COASTAL MUD SHRIMP","PELINV","ARTHRO","ARTHROPODA","ARTHROPODA","DECAPO","DECAPODA","DECAPODA","DECSHR","DECAPODA SHRIMP","DECAPODA SHRIMP"
"393","HIPPOLYTIDAE",NA,"BENINV","ARTHRO","ARTHROPODA","ARTHROPODA","DECAPO","DECAPODA","DECAPODA","DECSHR","DECAPODA SHRIMP","DECAPODA SHRIMP"
"394","CARIDION SP",NA,"PELINV","ARTHRO","ARTHROPODA","ARTHROPODA","DECAPO","DECAPODA","DECAPODA","DECSHR","DECAPODA SHRIMP","DECAPODA SHRIMP"
"395","CARIDION GORDONI","BIGCLAW HIPPOLYTE","PELINV","ARTHRO","ARTHROPODA","ARTHROPODA","DECAPO","DECAPODA","DECAPODA","DECSHR","DECAPODA SHRIMP","DECAPODA SHRIMP"
"396","EUALUS SP",NA,"PELINV","ARTHRO","ARTHROPODA","ARTHROPODA","DECAPO","DECAPODA","DECAPODA","DECSHR","DECAPODA SHRIMP","DECAPODA SHRIMP"
"397","EUALUS GAIMARDII","CIRCUMPOLAR EUALID","PELINV","ARTHRO","ARTHROPODA","ARTHROPODA","DECAPO","DECAPODA","DECAPODA","DECSHR","DECAPODA SHRIMP","DECAPODA SHRIMP"
"398","EUALUS PUSIOLUS","DOLL EUALID","PELINV","ARTHRO","ARTHROPODA","ARTHROPODA","DECAPO","DECAPODA","DECAPODA","DECSHR","DECAPODA SHRIMP","DECAPODA SHRIMP"
"399","HIPPOLYTE SP",NA,"PELINV","ARTHRO","ARTHROPODA","ARTHROPODA","DECAPO","DECAPODA","DECAPODA","DECSHR","DECAPODA SHRIMP","DECAPODA SHRIMP"
"400","HIPPOLYTE ZOSTERICOLA",NA,"PELINV","ARTHRO","ARTHROPODA","ARTHROPODA","DECAPO","DECAPODA","DECAPODA","DECSHR","DECAPODA SHRIMP","DECAPODA SHRIMP"
"401","LATREUTES SP",NA,"PELINV","ARTHRO","ARTHROPODA","ARTHROPODA","DECAPO","DECAPODA","DECAPODA","DECSHR","DECAPODA SHRIMP","DECAPODA SHRIMP"
"402","LEBBEUS SP",NA,"PELINV","ARTHRO","ARTHROPODA","ARTHROPODA","DECAPO","DECAPODA","DECAPODA","DECSHR","DECAPODA SHRIMP","DECAPODA SHRIMP"
"403","LEBBEUS GROENLANDICUS","SPINY LEBBEID","PELINV","ARTHRO","ARTHROPODA","ARTHROPODA","DECAPO","DECAPODA","DECAPODA","DECSHR","DECAPODA SHRIMP","DECAPODA SHRIMP"
"404","LEBBEUS POLARIS","POLAR LEBBEID","PELINV","ARTHRO","ARTHROPODA","ARTHROPODA","DECAPO","DECAPODA","DECAPODA","DECSHR","DECAPODA SHRIMP","DECAPODA SHRIMP"
"405","LEBBEUS ZEBRA","ZEBRA LEBBEID","PELINV","ARTHRO","ARTHROPODA","ARTHROPODA","DECAPO","DECAPODA","DECAPODA","DECSHR","DECAPODA SHRIMP","DECAPODA SHRIMP"
"406","SPIRONTOCARIS SP",NA,"PELINV","ARTHRO","ARTHROPODA","ARTHROPODA","DECAPO","DECAPODA","DECAPODA","DECSHR","DECAPODA SHRIMP","DECAPODA SHRIMP"
"407","SPIRONTOCARIS LILJEBORGII","FRIENDLY BLADE SHRIMP","PELINV","ARTHRO","ARTHROPODA","ARTHROPODA","DECAPO","DECAPODA","DECAPODA","DECSHR","DECAPODA SHRIMP","DECAPODA SHRIMP"
"408","SPIRONTOCARIS PHIPPSII","PUNCTATE BLADE SHRIMP","PELINV","ARTHRO","ARTHROPODA","ARTHROPODA","DECAPO","DECAPODA","DECAPODA","DECSHR","DECAPODA SHRIMP","DECAPODA SHRIMP"
"409","SPIRONTOCARIS SPINUS","PARROT SHRIMP","PELINV","ARTHRO","ARTHROPODA","ARTHROPODA","DECAPO","DECAPODA","DECAPODA","DECSHR","DECAPODA SHRIMP","DECAPODA SHRIMP"
"410","LYSMATA WURDEMANNI","PEPPERMINT SHRIMP","PELINV","ARTHRO","ARTHROPODA","ARTHROPODA","DECAPO","DECAPODA","DECAPODA","DECSHR","DECAPODA SHRIMP","DECAPODA SHRIMP"
"411","PALAEMONIDAE",NA,"PELINV","ARTHRO","ARTHROPODA","ARTHROPODA","DECAPO","DECAPODA","DECAPODA","DECSHR","DECAPODA SHRIMP","DECAPODA SHRIMP"
"412","LEANDER TENUICORNIS","BROWN GRASS SHRIMP","PELINV","ARTHRO","ARTHROPODA","ARTHROPODA","DECAPO","DECAPODA","DECAPODA","DECSHR","DECAPODA SHRIMP","DECAPODA SHRIMP"
"413","PALAEMONETES SP",NA,"PELINV","ARTHRO","ARTHROPODA","ARTHROPODA","DECAPO","DECAPODA","DECAPODA","DECSHR","DECAPODA SHRIMP","DECAPODA SHRIMP"
"414","PALAEMONETES PUGIO","DAGGERBLADE GRASS SHRIMP","PELINV","ARTHRO","ARTHROPODA","ARTHROPODA","DECAPO","DECAPODA","DECAPODA","DECSHR","DECAPODA SHRIMP","DECAPODA SHRIMP"
"415","PALAEMONETES VULGARIS","MARSH GRASS SHRIMP","PELINV","ARTHRO","ARTHROPODA","ARTHROPODA","DECAPO","DECAPODA","DECAPODA","DECSHR","DECAPODA SHRIMP","DECAPODA SHRIMP"
"416","OGYRIDES SP","LONGEYE SHRIMPS","PELINV","ARTHRO","ARTHROPODA","ARTHROPODA","DECAPO","DECAPODA","DECAPODA","DECSHR","DECAPODA SHRIMP","DECAPODA SHRIMP"
"417","PASIPHAEIDAE","GLASS SHRIMPS","PELINV","ARTHRO","ARTHROPODA","ARTHROPODA","DECAPO","DECAPODA","DECAPODA","DECSHR","DECAPODA SHRIMP","DECAPODA SHRIMP"
"418","PASIPHAEA SP",NA,"PELINV","ARTHRO","ARTHROPODA","ARTHROPODA","DECAPO","DECAPODA","DECAPODA","DECSHR","DECAPODA SHRIMP","DECAPODA SHRIMP"
"419","PASIPHAEA MULTIDENTATA","PINK GLASS SHRIMP","PELINV","ARTHRO","ARTHROPODA","ARTHROPODA","DECAPO","DECAPODA","DECAPODA","DECSHR","DECAPODA SHRIMP","DECAPODA SHRIMP"
"420","PASIPHAEA TARDA","CRIMSON PASIPHAEID","PELINV","ARTHRO","ARTHROPODA","ARTHROPODA","DECAPO","DECAPODA","DECAPODA","DECSHR","DECAPODA SHRIMP","DECAPODA SHRIMP"
"421","SERGESTIDAE","SERGESTID SHRIMPS","PELINV","ARTHRO","ARTHROPODA","ARTHROPODA","DECAPO","DECAPODA","DECAPODA","DECSHR","DECAPODA SHRIMP","DECAPODA SHRIMP"
"422","LUCIFER FAXONI",NA,"PELINV","ARTHRO","ARTHROPODA","ARTHROPODA","DECAPO","DECAPODA","DECAPODA","DECSHR","DECAPODA SHRIMP","DECAPODA SHRIMP"
"423","ACETES AMERICANUS",NA,"PELINV","ARTHRO","ARTHROPODA","ARTHROPODA","DECAPO","DECAPODA","DECAPODA","DECSHR","DECAPODA SHRIMP","DECAPODA SHRIMP"
"424","PROCESSIDAE","NIGHT SHRIMPS","PELINV","ARTHRO","ARTHROPODA","ARTHROPODA","DECAPO","DECAPODA","DECAPODA","DECSHR","DECAPODA SHRIMP","DECAPODA SHRIMP"
"425","PROCESSA BERMUDENSIS","BERMUDA NIGHT SHRIMP","PELINV","ARTHRO","ARTHROPODA","ARTHROPODA","DECAPO","DECAPODA","DECAPODA","DECSHR","DECAPODA SHRIMP","DECAPODA SHRIMP"
"426","SICYONIA SP","ROCK SHRIMPS","PELINV","ARTHRO","ARTHROPODA","ARTHROPODA","DECAPO","DECAPODA","DECAPODA","DECSHR","DECAPODA SHRIMP","DECAPODA SHRIMP"
"427","DIAPHUS EFFULGENS",NA,"SPEL","FISH","FISH","FISH","MYCFAM","MYCTOPHIDAE","LANTERNFISHES","DIAEFF","DIAPHUS EFFUGENS",NA
"428","DIPLECTRUM FORMOSUM","SANDPERCH","LDEM","FISH","FISH","FISH","SERFA3","SERRANIDAE","SEA BASSES","DIPFOR","DIPLECTRUM FORMOSUM","SANDPERCH"
"429","ECHINOIDEA","SEA URCHINS AND SAND DOLLARS","BENINV","ECHINO","ECHINODERMATA","ECHINODERMATA","ECHIN1","ECHINOIDEA","URCHINS, SAND DOLLARS","ECHIN1","ECHINOIDEA","URCHINS, SAND DOLLARS"
"430","ECHINACEA","TRUE SEA URCHINS","BENINV","ECHINO","ECHINODERMATA","ECHINODERMATA","ECHIN1","ECHINOIDEA","URCHINS, SAND DOLLARS","ECHIN1","ECHINOIDEA","URCHINS, SAND DOLLARS"
"431","ARBACIA PUNCTULATA","PURPLE SEA URCHIN","BENINV","ECHINO","ECHINODERMATA","ECHINODERMATA","ECHIN1","ECHINOIDEA","URCHINS, SAND DOLLARS","ECHIN1","ECHINOIDEA","URCHINS, SAND DOLLARS"
"432","STRONGYLOCENTROTUS DROEBACHIENSIS","GREEN SEA URCHIN","BENINV","ECHINO","ECHINODERMATA","ECHINODERMATA","ECHIN1","ECHINOIDEA","URCHINS, SAND DOLLARS","ECHIN1","ECHINOIDEA","URCHINS, SAND DOLLARS"
"433","ECHINARACHNIIDAE",NA,"BENINV","ECHINO","ECHINODERMATA","ECHINODERMATA","ECHIN1","ECHINOIDEA","URCHINS, SAND DOLLARS","ECHIN1","ECHINOIDEA","URCHINS, SAND DOLLARS"
"434","ECHINARACHNIUS PARMA","SAND DOLLAR","BENINV","ECHINO","ECHINODERMATA","ECHINODERMATA","ECHIN1","ECHINOIDEA","URCHINS, SAND DOLLARS","ECHIN1","ECHINOIDEA","URCHINS, SAND DOLLARS"
"435","ACESTE SP",NA,"BENINV","ECHINO","ECHINODERMATA","ECHINODERMATA","ECHIN1","ECHINOIDEA","URCHINS, SAND DOLLARS","ECHIN1","ECHINOIDEA","URCHINS, SAND DOLLARS"
"436","SCHIZASTERIDAE",NA,"BENINV","ECHINO","ECHINODERMATA","ECHINODERMATA","ECHIN1","ECHINOIDEA","URCHINS, SAND DOLLARS","ECHIN1","ECHINOIDEA","URCHINS, SAND DOLLARS"
"437","ECHINODERMATA","ECHINODERMS","BENINV","ECHINO","ECHINODERMATA","ECHINODERMATA","ECHINO","ECHINODERMATA","ECHINODERMATA","ECHINO","ECHINODERMATA","ECHINODERMATA"
"438","ECHIOPHIS INTERTINCTUS","SPOTTED SPOON-NOSE EEL","LDEM","FISH","FISH","FISH","ANGORD","ANGUILLIFORMES","EELS","ECHINT","ECHIOPHIS INTERTINCTUS","SPOTTED SPOON-NOSE EEL"
"439","EMPTY","EMPTY STOMACH","EMPTY","EMPTY","EMPTY","EMPTY","EMPTY","EMPTY","EMPTY","EMPTY","EMPTY","EMPTY"
"440","ENCHELYOPUS CIMBRIUS","FOURBEARD ROCKLING","LDEM","FISH","FISH","FISH","GADFAM","GADIDAE","CODFISHES","ENCCIM","ENCHELYOPUS CIMBRIUS","FOURBEARD ROCKLING"
"441","ENGRAULIS EURYSTOLE","SILVER ANCHOVY","SPEL","FISH","FISH","FISH","ENGFAM","ENGRAULIDAE","ANCHOVIES","ENGEUR","ENGRAULIS EURYSTOLE","SILVER ANCHOVY"
"442","ENGRAULIDAE","ANCHOVIES","SPEL","FISH","FISH","FISH","ENGFAM","ENGRAULIDAE","ANCHOVIES","ENGFAM","ENGRAULIDAE","ANCHOVIES"
"443","EQUETUS UMBROSUS","CUBBYU","LDEM","FISH","FISH","FISH","SCIFAM","SCIAENIDAE","DRUMS","EQUUMB","EQUETUS UMBROSUS","CUBBYU"
"444","ETMOPTERUS GRACILISPINIS","BROADBAND DOGFISH","LDEM","FISH","FISH","FISH","SHARK","SHARK","SHARK","ETMGRA","ETMOPTERUS GRACILISPINIS","BROADBAND DOGFISH"
"445","ETMOPTERUS HILLIANUS","CARIBBEAN LANTERNSHARK","LDEM","FISH","FISH","FISH","SHARK","SHARK","SHARK","ETMHIL","ETMOPTERUS HILLIANUS","CARIBBEAN LANTERNSHARK"
"446","ETMOPTERUS PRINCEPS","ROUGH SAGRE","LDEM","FISH","FISH","FISH","SHARK","SHARK","SHARK","ETMPRI","ETMOPTERUS PRINCEPS","ROUGH SAGRE"
"447","ETROPUS MICROSTOMUS","SMALLMOUTH FLOUNDER","SDEM","FISH","FISH","FISH","BOTFAM","BOTHIDAE","LEFTEYE FLOUNDERS","ETRMIC","ETROPUS MICROSTOMUS","SMALLMOUTH FLOUNDER"
"448","ETROPUS SP","ETROPUS SP","SDEM","FISH","FISH","FISH","BOTFAM","BOTHIDAE","LEFTEYE FLOUNDERS","ETROSP","ETROPUS SP",NA
"449","ETRUMEUS TERES","ROUND HERRING","LPEL","FISH","FISH","FISH","CLUFAM","CLUPEIDAE","HERRINGS","ETRTER","ETRUMEUS TERES","ROUND HERRING"
"450","EUPHAUSIIDAE","KRILL","PELINV","ARTHRO","ARTHROPODA","ARTHROPODA","EUPFAM","EUPHAUSIACEA","KRILL","EUPFAM","EUPHAUSIACEA","KRILL"
"451","EUPHAUSIIDAE LARVAE","KRILL LARVAE","PELINV","ARTHRO","ARTHROPODA","ARTHROPODA","EUPFAM","EUPHAUSIACEA","KRILL","EUPFAM","EUPHAUSIACEA","KRILL"
"452","EUPHAUSIA SP",NA,"PELINV","ARTHRO","ARTHROPODA","ARTHROPODA","EUPFAM","EUPHAUSIACEA","KRILL","EUPFAM","EUPHAUSIACEA","KRILL"
"453","EUPHAUSIA KROHNI",NA,"PELINV","ARTHRO","ARTHROPODA","ARTHROPODA","EUPFAM","EUPHAUSIACEA","KRILL","EUPFAM","EUPHAUSIACEA","KRILL"
"454","MEGANYCTIPHANES NORVEGICA",NA,"PELINV","ARTHRO","ARTHROPODA","ARTHROPODA","EUPFAM","EUPHAUSIACEA","KRILL","EUPFAM","EUPHAUSIACEA","KRILL"
"455","NYCTIPHANES COUCHI",NA,"PELINV","ARTHRO","ARTHROPODA","ARTHROPODA","EUPFAM","EUPHAUSIACEA","KRILL","EUPFAM","EUPHAUSIACEA","KRILL"
"456","STYLOCHEIRON SP",NA,"PELINV","ARTHRO","ARTHROPODA","ARTHROPODA","EUPFAM","EUPHAUSIACEA","KRILL","EUPFAM","EUPHAUSIACEA","KRILL"
"457","THYSANOESSA SP",NA,"PELINV","ARTHRO","ARTHROPODA","ARTHROPODA","EUPFAM","EUPHAUSIACEA","KRILL","EUPFAM","EUPHAUSIACEA","KRILL"
"458","THYSANOESSA INERMIS",NA,"PELINV","ARTHRO","ARTHROPODA","ARTHROPODA","EUPFAM","EUPHAUSIACEA","KRILL","EUPFAM","EUPHAUSIACEA","KRILL"
"459","THYSANOESSA LONGICAUDATA",NA,"PELINV","ARTHRO","ARTHROPODA","ARTHROPODA","EUPFAM","EUPHAUSIACEA","KRILL","EUPFAM","EUPHAUSIACEA","KRILL"
"460","THYSANOESSA RASCHII",NA,"PELINV","ARTHRO","ARTHROPODA","ARTHROPODA","EUPFAM","EUPHAUSIACEA","KRILL","EUPFAM","EUPHAUSIACEA","KRILL"
"461","FISH EGGS","FISH EGGS","FISEGG","FISH","FISH","FISH","FISEGG","FISH EGGS","FISH EGGS","FISEGG","FISH EGGS","FISH EGGS"
"462","CHONDRICHTHYES EGGS","EGG CASES","FISEGG","FISH","FISH","FISH","FISEGG","FISH EGGS","FISH EGGS","FISEGG","FISH EGGS","FISH EGGS"
"463","CLUPEIDAE EGGS","HERRING EGGS","FISEGG","FISH","FISH","FISH","FISEGG","FISH EGGS","FISH EGGS","FISEGG","FISH EGGS","FISH EGGS"
"464","GADIDAE EGGS","GADID EGGS","FISEGG","FISH","FISH","FISH","FISEGG","FISH EGGS","FISH EGGS","FISEGG","FISH EGGS","FISH EGGS"
"465","LOPHIUS AMERICANUS EGGS","GOOSEFISH EGG MASS","FISEGG","FISH","FISH","FISH","FISEGG","FISH EGGS","FISH EGGS","FISEGG","FISH EGGS","FISH EGGS"
"466","COTTIDAE EGGS","SCULPIN EGGS","FISEGG","FISH","FISH","FISH","FISEGG","FISH EGGS","FISH EGGS","FISEGG","FISH EGGS","FISH EGGS"
"467","HEMITRIPTERUS AMERICANUS EGGS","SEA RAVEN EGGS","FISEGG","FISH","FISH","FISH","FISEGG","FISH EGGS","FISH EGGS","FISEGG","FISH EGGS","FISH EGGS"
"468","SCOMBER SCOMBRUS EGGS","ATLANTIC MACKEREL EGGS","FISEGG","FISH","FISH","FISH","SCOFAM","SCOMBRIDAE","MACKERELS","FISEGG","FISH EGGS","FISH EGGS"
"469","SEBASTES FASCIATUS EGGS","ACADIAN REDFISH EGGS","FISEGG","FISH","FISH","FISH","FISEGG","FISH EGGS","FISH EGGS","FISEGG","FISH EGGS","FISH EGGS"
"470","PLEURONECTIFORMES EGGS","FLATFISH EGGS","FISEGG","FISH","FISH","FISH","FISEGG","FISH EGGS","FISH EGGS","FISEGG","FISH EGGS","FISH EGGS"
"471","LIMANDA FERRUGINEA EGGS","YELLOWTAIL FLOUNDER EGGS","FISEGG","FISH","FISH","FISH","FISEGG","FISH EGGS","FISH EGGS","FISEGG","FISH EGGS","FISH EGGS"
"472","MACROZOARCES AMERICANUS EGGS","OCEAN POUT EGGS","FISEGG","FISH","FISH","FISH","FISEGG","FISH EGGS","FISH EGGS","FISEGG","FISH EGGS","OCEAN POUT EGGS"
"473","MYOXOCEPHALUS SP EGGS",NA,"FISEGG","FISH","FISH","FISH","FISEGG","FISH EGGS","FISH EGGS","FISEGG","FISH EGGS","SCULPIN EGGS"
"474","ANGUILLIFORMES LARVAE","LEPTOCEPHALUS","FISLAR","FISH","FISH","FISH","FISLAR","FISH LARVAE","FISH LARVAE","FISLAR","FISH LARVAE","LEPTOCEPHALUS"
"475","FISH LARVAE","FISH LARVAE","FISLAR","FISH","FISH","FISH","FISLAR","FISH LARVAE","FISH LARVAE","FISLAR","FISH LARVAE","FISH LARVAE"
"476","CONGRIDAE LARVAE","CONGER EEL LARVAE","FISLAR","FISH","FISH","FISH","FISLAR","FISH LARVAE","FISH LARVAE","FISLAR","FISH LARVAE","FISH LARVAE"
"477","CLUPEIDAE LARVAE","HERRING LARVAE","FISLAR","FISH","FISH","FISH","FISLAR","FISH LARVAE","FISH LARVAE","FISLAR","FISH LARVAE","FISH LARVAE"
"478","CLUPEA HARENGUS LARVAE","ATLANTIC HERRING LARVAE","FISLAR","FISH","FISH","FISH","FISLAR","FISH LARVAE","FISH LARVAE","FISLAR","FISH LARVAE","FISH LARVAE"
"479","ENGRAULIDAE LARVAE","ANCHOVY LARVAE","FISLAR","FISH","FISH","FISH","FISLAR","FISH LARVAE","FISH LARVAE","FISLAR","FISH LARVAE","FISH LARVAE"
"480","ANCHOA MITCHILLI LARVAE","BAY ANCHOVY LARVAE","FISLAR","FISH","FISH","FISH","FISLAR","FISH LARVAE","FISH LARVAE","FISLAR","FISH LARVAE","FISH LARVAE"
"481","OSMERIDAE LARVAE","SMELT LARVAE","FISLAR","FISH","FISH","FISH","FISLAR","FISH LARVAE","FISH LARVAE","FISLAR","FISH LARVAE","FISH LARVAE"
"482","GADIDAE LARVAE","GADID LARVAE","FISLAR","FISH","FISH","FISH","FISLAR","FISH LARVAE","FISH LARVAE","FISLAR","FISH LARVAE","FISH LARVAE"
"483","GADUS MORHUA LARVAE","ATLANTIC COD LARVAE","FISLAR","FISH","FISH","FISH","FISLAR","FISH LARVAE","FISH LARVAE","FISLAR","FISH LARVAE","FISH LARVAE"
"484","AMMODYTES SP LARVAE","SAND LANCES LARVAE","FISLAR","FISH","FISH","FISH","FISLAR","FISH LARVAE","FISH LARVAE","FISLAR","FISH LARVAE","FISH LARVAE"
"485","COTTIDAE LARVAE","SCULPIN LARVAE","FISLAR","FISH","FISH","FISH","FISLAR","FISH LARVAE","FISH LARVAE","FISLAR","FISH LARVAE","FISH LARVAE"
"486","CYCLOPTERIDAE LARVAE","SNAILFISH LARVAE","FISLAR","FISH","FISH","FISH","FISLAR","FISH LARVAE","FISH LARVAE","FISLAR","FISH LARVAE","FISH LARVAE"
"487","ZOARCIDAE LARVAE","EELPOUTS LARVAE","FISLAR","FISH","FISH","FISH","FISLAR","FISH LARVAE","FISH LARVAE","FISLAR","FISH LARVAE","FISH LARVAE"
"488","PLEURONECTIFORMES LARVAE","FLATFISH LARVAE","FISLAR","FISH","FISH","FISH","FISLAR","FISH LARVAE","FISH LARVAE","FISLAR","FISH LARVAE","FISH LARVAE"
"489","BOTHIDAE LARVAE","LEFTEYE FLOUNDER LARVAE","FISLAR","FISH","FISH","FISH","FISLAR","FISH LARVAE","FISH LARVAE","FISLAR","FISH LARVAE","FISH LARVAE"
"490","ETROPUS SP LARVAE","ETROPUS SP LARVAE","FISLAR","FISH","FISH","FISH","FISLAR","FISH LARVAE","FISH LARVAE","FISLAR","FISH LARVAE","FISH LARVAE"
"491","SCOPHTHALMUS AQUOSUS LARVAE","WINDOWPANE LARVAE","FISLAR","FISH","FISH","FISH","FISLAR","FISH LARVAE","FISH LARVAE","FISLAR","FISH LARVAE","FISH LARVAE"
